MSE12,MSE23,MSE13,SSIM12,SSIM23,SSIM13
6.016080729,2.348389757,11.5019184,0.993597523,0.996962071,0.988909191
2.348389757,1.603897569,4.474552951,0.996962071,0.997955918,0.994751808
1.603897569,2.387300347,4.736866319,0.997955918,0.996832353,0.994397966
2.387300347,4.066241319,9.017309028,0.996832353,0.995181286,0.990645767
4.066241319,4.689956597,13.21974826,0.995181286,0.994760069,0.988074502
4.689956597,6.215664063,14.71703559,0.994760069,0.993527309,0.986623227
6.215664063,17.11084201,25.46761719,0.993527309,0.984741694,0.979263458
17.11084201,30.29875,55.38243056,0.984741694,0.978342872,0.965010705
30.29875,29.70445747,68.56035156,0.978342872,0.977963331,0.962776413
29.70445747,26.04604167,60.47883247,0.977963331,0.981384089,0.967083252
26.04604167,57.48135417,91.07725694,0.981384089,0.969448102,0.959488209
57.48135417,67.59025608,139.322678,0.969448102,0.960187443,0.942071295
67.59025608,155.026888,239.6571701,0.960187443,0.940389533,0.926920588
155.026888,258.0053993,447.7851259,0.940389533,0.92622617,0.908754266
258.0053993,362.0807986,645.4247135,0.92622617,0.923356576,0.898425032
362.0807986,426.9719227,787.3929644,0.923356576,0.930163346,0.901688072
426.9719227,438.9584462,964.609388,0.930163346,0.944447926,0.909321694
438.9584462,236.3101866,808.9769661,0.944447926,0.974238253,0.939878526
236.3101866,9.816319444,268.1359766,0.974238253,0.995875475,0.972251597
9.816319444,1.453459201,11.8668533,0.995875475,0.997194405,0.993600621
1.453459201,2.660616319,4.430551215,0.997194405,0.994352207,0.992220692
2.660616319,6.512673611,9.736119792,0.994352207,0.990788349,0.98592267
6.512673611,1.792929688,8.463476563,0.990788349,0.996428606,0.98781285
1.792929688,0.545815972,2.446280382,0.996428606,0.998983538,0.995459193
0.545815972,0.358424479,0.969144965,0.998983538,0.999148828,0.99815242
0.358424479,1.829583333,2.265672743,0.999148828,0.99747474,0.996647329
1.829583333,3.693858507,5.641653646,0.99747474,0.995390554,0.992978872
3.693858507,1.764019097,5.57983941,0.995390554,0.997154311,0.99282884
